sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4
883779813_Pg355_10.fsa,Pg355,EX_03,EX-S,195,0.2006802721088435,0.7951180472188876,0.0022008803521408565,0.0020008003201280513
883779813_Pg355_11.fsa,Pg355,EX_03,EX-S,196,0.2002,0.7946,0.003,0.0022
883779813_Pg355_12.fsa,Pg355,EX_03,EX-S,197,0.2008803521408564,0.7949179671868748,0.0020008003201280517,0.002200880352140857
883779813_Pg355_13.fsa,Pg355,EX_03,EX-S,198,0.2092,0.7759999999999999,0.0036000000000000003,0.0112
883779813_Pg355_14.fsa,Pg355,EX_03,EX-S,199,0.19947979191676668,0.7961184473789517,0.0024009603841536617,0.0020008003201280513
883779813_Pg355_15.fsa,Pg355,EX_03,EX-S,200,0.022,0.9608000000000001,0.006,0.0112
883779813_Pg355_16.fsa,Pg355,EX_03,EX-S,201,0.0142,0.013000000000000001,0.004399999999999999,0.9683999999999999
883779813_Pg355_17.fsa,Pg355,EX_03,EX-S,202,0.2009598080383923,0.7934413117376524,0.003399320135972805,0.0021995600879824036
883779813_Pg355_18.fsa,Pg355,EX_03,EX-S,203,0.07658468306338732,0.9196160767846432,0.001999600079984003,0.0017996400719856032
883779813_Pg355_19.fsa,Pg355,EX_03,EX-S,204,0.1985205917632947,0.7978808476609357,0.0021991203518592567,0.0013994402239104358
883779813_Pg355_20.fsa,Pg355,EX_03,EX-S,205,0.04539092181563687,0.9442111577684462,0.0019996000799840027,0.008398320335932812
883779813_Pg355_21.fsa,Pg355,EX_03,EX-S,206,0.012004801920768306,0.004601840736294517,0.0024009603841536613,0.9809923969587835
883779813_Pg355_22.fsa,Pg355,EX_03,EX-S,207,0.006601320264052811,0.004000800160032006,0.013602720544108823,0.9757951590318064
883779813_Pg355_23.fsa,Pg355,EX_03,EX-S,208,0.19763952790558112,0.7993598719743948,0.002000400080016003,0.0010002000400080016
883779813_Pg355_24.fsa,Pg355,EX_03,EX-S,209,0.19803960792158434,0.7983596719343868,0.002600520104020805,0.0010002000400080016
883779813_Pg356_01.fsa,Pg356,TNE_02,TNE,210,0.0026000000000000003,0.06220000000000001,0.933,0.0022
883779813_Pg356_02.fsa,Pg356,TNE_02,TNE,211,0.002000400080016003,0.003200640128025605,0.9931986397279455,0.0016003200640128026
883779813_Pg356_03.fsa,Pg356,TNE_02,TNE,212,0.0021982414068745003,0.0035971223021582727,0.991806554756195,0.002398081534772182
883779813_Pg356_04.fsa,Pg356,TNE_02,TNE,213,0.002199560087982403,0.006798640271945612,0.9884023195360927,0.0025994801039792045
883779813_Pg356_05.fsa,Pg356,TNE_02,TNE,214,0.004200000000000001,0.003,0.9908000000000001,0.002
883779813_Pg356_06.fsa,Pg356,TNE_02,TNE,215,0.0025984409354387374,0.005996402158704777,0.9882070757545474,0.003198081151309215
883779813_Pg356_07.fsa,Pg356,TNE_02,TNE,216,0.002199560087982403,0.005798840231953609,0.9894021195760847,0.0025994801039792045
883779813_Pg356_08.fsa,Pg356,TNE_02,TNE,217,0.031006201240248055,0.003200640128025605,0.9645929185837168,0.001200240048009602
883779813_Pg356_09.fsa,Pg356,TNE_02,TNE,218,0.0033986405437824866,0.004598160735705718,0.9892043182726908,0.002798880447820872
883779813_Pg356_10.fsa,Pg356,TNE_02,TNE,219,0.0037992401519696068,0.0031993601279744054,0.9910017996400721,0.001999600079984003
883779813_Pg356_11.fsa,Pg356,TNE_02,TNE,220,0.0032,0.0022,0.9922000000000001,0.0024000000000000002
883779813_Pg356_12.fsa,Pg356,TNE_02,TNE,221,0.0032,0.007200000000000001,0.9833999999999999,0.0062
883779813_Pg356_13.fsa,Pg356,TNE_02,TNE,222,0.002,0.0022,0.9942,0.0016
883779813_Pg356_14.fsa,Pg356,TNE_02,TNE,223,0.001999600079984003,0.0017996400719856032,0.9944011197760447,0.0017996400719856032
