sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12
883779813_Pg349_01.fsa,Pg349,KY_01,KY,59,0.016187050359712227,0.017585931254996,0.0725419664268585,0.0017985611510791366,0.18964828137490009,0.0031974420463629096,0.0109912070343725,0.005595523581135091,0.011191047162270183,0.6656674660271782,0.0035971223021582727,0.001998401278976818
883779813_Pg349_02.fsa,Pg349,KY_01,KY,60,0.004999000199960009,0.004799040191961608,0.0027994401119776045,9.998000399920016e-4,0.1973605278944211,0.008198360327934412,0.015596880623875223,0.0037992401519696063,0.002999400119976005,0.7538492301539691,0.0027994401119776045,0.0017996400719856032
883779813_Pg349_03.fsa,Pg349,KY_01,KY,61,0.002,0.0038000000000000004,0.0036,0.0014,0.2004,0.006999999999999999,0.0032,0.001,0.0021999999999999997,0.7714000000000001,0.0016,0.0024000000000000002
883779813_Pg349_04.fsa,Pg349,KY_01,KY,62,0.0010016025641025642,0.0020032051282051285,0.0020032051282051285,0.0014022435897435897,0.20292467948717946,0.002604166666666667,0.005008012820512821,0.0010016025641025642,0.0016025641025641027,0.7762419871794872,0.0018028846153846157,0.002403846153846154
883779813_Pg349_07.fsa,Pg349,KY_01,KY,63,0.0012024048096192386,0.0020040080160320644,0.0020040080160320644,0.0016032064128256515,0.19859719438877757,0.002204408817635271,0.02464929859719439,0.0010020040080160322,0.0016032064128256515,0.7613226452905811,0.0012024048096192386,0.0026052104208416837
883779813_Pg349_08.fsa,Pg349,KY_01,KY,64,0.0016009605763458077,0.0020012007204322593,0.0026015609365619375,0.0010006003602161296,0.19851911146688014,0.0020012007204322593,0.0022013207924754855,0.0016009605763458077,0.0016009605763458077,0.7836702021212728,0.0012007204322593559,0.0020012007204322593
883779813_Pg349_09.fsa,Pg349,KY_01,KY,65,0.0010002000400080016,0.002600520104020805,0.002600520104020805,0.0010002000400080016,0.19943988797759554,0.0022004400880176037,0.002600520104020805,0.0010002000400080016,0.0012002400480096021,0.7833566713342668,0.0012002400480096021,0.001800360072014403
883779813_Pg349_10.fsa,Pg349,KY_01,KY,66,0.0016016016016016017,0.005005005005005005,0.002002002002002002,0.0016016016016016017,0.20280280280280277,0.006206206206206206,0.0048048048048048055,0.001001001001001001,0.001001001001001001,0.7651651651651651,0.0020020020020020024,0.0068068068068068074
883779813_Pg349_11.fsa,Pg349,KY_01,KY,67,0.0020004000800160028,0.007601520304060809,0.0030006001200240046,0.0010002000400080014,0.19563912782556508,0.0020004000800160028,0.0020004000800160028,0.0016003200640128023,0.001400280056011202,0.7795559111822364,0.001400280056011202,0.0028005601120224045
883779813_Pg349_12.fsa,Pg349,KY_01,KY,68,0.0010004001600640256,0.002601040416166467,0.003001200480192077,0.0010004001600640256,0.19467787114845939,0.003201280512204882,0.02581032412965186,0.0010004001600640256,0.0010004001600640256,0.7617046818727491,0.001600640256102441,0.0034013605442176874
883779813_Pg349_13.fsa,Pg349,KY_01,KY,69,0.0020016012810248197,0.006405124099279423,0.0020016012810248197,0.00400320256204964,0.19815852682145715,0.0032025620496397116,0.004803843074459567,0.0024019215372297837,0.001801441152922338,0.7674139311449159,0.0022017614091273015,0.005604483586869496
883779813_Pg349_14.fsa,Pg349,KY_01,KY,70,0.0010004001600640256,0.0020008003201280513,0.0020008003201280513,0.0010004001600640256,0.19967987194877954,0.002601040416166467,0.0018007202881152463,0.0010004001600640256,0.0010004001600640256,0.7847138855542217,0.0012004801920768309,0.0020008003201280513
883779813_Pg349_15.fsa,Pg349,KY_01,KY,71,0.001999600079984003,0.0017996400719856032,0.0015996800639872027,0.0013997200559888023,0.22815436912617473,0.014797040591881626,0.005598880223955208,0.0017996400719856032,0.001199760047990402,0.7286542691461708,0.007998400319936013,0.004999000199960009
883779813_Pg349_16.fsa,Pg349,KY_01,KY,72,0.001401120896717374,0.0036028823058446764,0.006405124099279425,0.006204963971176942,0.18975180144115297,0.0034027221777421946,0.011208967173738994,0.0034027221777421946,0.00200160128102482,0.7616092874299439,0.0026020816653322663,0.008406725380304245
883779813_Pg349_17.fsa,Pg349,KY_01,KY,73,0.00100080064051241,0.00200160128102482,0.00200160128102482,0.003202562049639712,0.200160128102482,0.002201761409127302,0.003202562049639712,0.0018014411529223382,0.001200960768614892,0.7760208166533227,0.001401120896717374,0.005804643714971977
883779813_Pg349_18.fsa,Pg349,KY_01,KY,74,0.0016003200640128026,0.0016003200640128026,0.003200640128025605,0.002000400080016003,0.1978395679135827,0.002400480096019204,0.0016003200640128026,0.0016003200640128026,0.0016003200640128026,0.7833566713342669,0.001200240048009602,0.002000400080016003
883779813_Pg349_19.fsa,Pg349,KY_01,KY,75,0.002801681008605163,0.007804682809685813,0.009805883530118072,0.002601560936561938,0.1879127476485892,0.004202521512907746,0.002601560936561938,0.0010006003602161299,0.0014008405043025817,0.7740644386631979,0.00200120072043226,0.0038022813688212936
