sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
883779813_Pg351_08.fsa,Pg351,KY_04,KY,110,9.998000399920016e-4,0.9846030793841231,0.0075984803039392135,0.001999600079984003,0.001199760047990402,0.003599280143971206
883779813_Pg351_09.fsa,Pg351,KY_04,KY,111,0.00100080064051241,0.9599679743795035,0.026220976781425143,0.0012009607686148923,0.0026020816653322663,0.00900720576461169
883779813_Pg351_10.fsa,Pg351,KY_04,KY,112,0.0010004001600640256,0.9869947979191677,0.003001200480192077,0.0014005602240896359,0.0020008003201280513,0.0056022408963585435
883779813_Pg351_11.fsa,Pg351,KY_04,KY,113,0.002000400080016003,0.9307861572314462,0.05001000200040009,0.0014002800560112022,0.0054010802160432084,0.01040208041608322
883779813_Pg351_12.fsa,Pg351,KY_04,KY,114,0.0010002000400080016,0.6297259451890378,0.08061612322464493,0.001800360072014403,0.003000600120024005,0.2838567713542709
883779813_Pg351_13.fsa,Pg351,KY_04,KY,115,0.0048,0.9783999999999999,0.005200000000000001,0.0026000000000000003,0.0048000000000000004,0.0042
883779813_Pg351_14.fsa,Pg351,KY_04,KY,116,0.0038022813688212928,0.9709825895537322,0.003201921152691615,0.003201921152691615,0.010606363818290972,0.008204922953772266
883779813_Pg351_15.fsa,Pg351,KY_04,KY,117,0.0022,0.9401999999999999,0.0162,0.011399999999999999,0.004,0.026000000000000002
883779813_Pg351_16.fsa,Pg351,KY_04,KY,118,0.0028016810086051633,0.9771863117870722,0.0076045627376425855,0.004402641584950969,0.0024014408645187113,0.005603362017210326
883779813_Pg351_17.fsa,Pg351,KY_04,KY,119,0.0020008003201280513,0.9841936774709884,0.005002000800320128,0.0020008003201280513,0.0010004001600640256,0.005802320928371349
883779813_Pg351_18.fsa,Pg351,KY_04,KY,120,0.0022017614091273023,0.9797838270616493,0.00700560448358687,0.001401120896717374,0.00200160128102482,0.007606084867894316
883779813_Pg351_19.fsa,Pg351,KY_04,KY,121,0.001800360072014403,0.9861972394478895,0.004000800160032006,0.002800560112022404,0.0014002800560112022,0.003800760152030406
883779813_Pg351_20.fsa,Pg351,KY_04,KY,122,0.0017992802878848463,0.9838064774090363,0.0029988004798080768,0.001199520191923231,0.0017992802878848463,0.008396641343462614
883779813_Pg351_21.fsa,Pg351,KY_04,KY,123,0.0014,0.9836,0.0026000000000000003,0.0022,0.0026000000000000003,0.0076
883779813_Pg351_22.fsa,Pg351,KY_04,KY,124,0.003200640128025606,0.9753950790158032,0.0044008801760352075,0.004600920184036808,0.003200640128025606,0.009201840368073616
883779813_Pg351_23.fsa,Pg351,KY_04,KY,125,0.0022004400880176037,0.9587917583516703,0.02480496099219844,0.005201040208041608,0.0036007201440288058,0.0054010802160432084
883779813_Pg351_24.fsa,Pg351,KY_04,KY,126,0.001600640256102441,0.977390956382553,0.0034013605442176865,0.0028011204481792717,0.0028011204481792717,0.012004801920768308
883779813_Pg352_01.fsa,Pg352,KY_05,KY,127,0.002199560087982403,0.0037992401519696055,0.9868026394721054,0.0015996800639872023,0.0019996000799840027,0.0035992801439712055
883779813_Pg352_02.fsa,Pg352,KY_05,KY,128,0.0034013605442176874,0.011204481792717085,0.9749899959983993,0.003601440576230492,0.0022008803521408565,0.004601840736294518
883779813_Pg352_03.fsa,Pg352,KY_05,KY,129,0.0014,0.0038000000000000004,0.9842000000000001,0.0024000000000000002,0.0034000000000000002,0.0048000000000000004
883779813_Pg352_04.fsa,Pg352,KY_05,KY,130,0.001999200319872051,0.012594962015193924,0.9742103158736505,0.004798080767692924,0.0017992802878848463,0.004598160735705719
883779813_Pg352_05.fsa,Pg352,KY_05,KY,131,0.003001801080648389,0.04502701620972584,0.8735241144686813,0.0026015609365619375,0.0022013207924754855,0.07364418651190714
883779813_Pg352_06.fsa,Pg352,KY_05,KY,132,0.001999600079984003,0.005198960207958407,0.9842031593681263,0.0013997200559888023,0.0021995600879824036,0.004999000199960008
883779813_Pg352_07.fsa,Pg352,KY_05,KY,133,0.005197920831667334,0.11715313874450221,0.8532586965213914,0.0027988804478208716,0.0017992802878848463,0.01979208316673331
883779813_Pg352_08.fsa,Pg352,KY_05,KY,134,0.012199999999999999,0.007200000000000001,0.9606,0.003,0.0018000000000000002,0.015200000000000002
883779813_Pg352_09.fsa,Pg352,KY_05,KY,135,0.002200880352140856,0.0028011204481792713,0.9823929571828732,0.0034013605442176874,0.003201280512204882,0.006002400960384154
883779813_Pg352_10.fsa,Pg352,KY_05,KY,136,0.002201320792475485,0.0040024014408645186,0.9799879927956774,0.0022013207924754846,0.002601560936561937,0.009005403241945166
883779813_Pg352_11.fsa,Pg352,KY_05,KY,137,0.0021999999999999997,0.0032,0.9612,0.0116,0.0032,0.0186
883779813_Pg352_12.fsa,Pg352,KY_05,KY,138,0.001999600079984003,0.0025994801039792045,0.9854029194161168,0.004399120175964807,0.0021995600879824036,0.003399320135972806
883779813_Pg352_13.fsa,Pg352,KY_05,KY,139,0.001,0.0026000000000000003,0.9904,0.0012000000000000001,0.0022,0.0026000000000000003
