sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
883779813_Pg347_02.fsa,Pg347,KY_02,KY,26,0.0010002000400080016,0.20584116823364673,0.20004000800160035,0.002000400080016003,0.591118223644729
883779813_Pg347_03.fsa,Pg347,KY_02,KY,27,0.003801520608243298,0.20568227290916363,0.21748699479791916,0.014205682272909165,0.5588235294117647
883779813_Pg347_11.fsa,Pg347,KY_02,KY,28,0.0022004400880176033,0.19863972794558912,0.20404080816163234,0.005201040208041609,0.5899179835967193
883779813_Pg347_12.fsa,Pg347,KY_02,KY,29,0.0015990405756546075,0.19928043174095544,0.19708175094943034,0.02198680791525085,0.5800519688187088
883779813_Pg347_17.fsa,Pg347,KY_02,KY,30,0.0017992802878848463,0.19932027189124352,0.2029188324670132,0.0037984806077568972,0.5921631347461015
883779813_Pg347_18.fsa,Pg347,KY_02,KY,31,0.004600920184036807,0.20044008801760352,0.21664332866573313,0.011602320464092819,0.5667133426685337
883779813_Pg347_21.fsa,Pg347,KY_02,KY,32,0.007598480303939213,0.22535492901419715,0.19316136772645473,0.020195960807838434,0.5536892621475705
883779813_Pg347_22.fsa,Pg347,KY_02,KY,33,0.004401760704281712,0.2002801120448179,0.23189275710284113,0.0014005602240896359,0.5620248099239696
883779813_Pg347_23.fsa,Pg347,KY_02,KY,34,0.0016003200640128026,0.2006401280256051,0.22284456891378276,0.0010002000400080016,0.5739147829565913
883779813_Pg348_01.fsa,Pg348,EX_01,EX-S,35,0.0014,0.20059999999999997,0.2012,0.003,0.5937999999999999
883779813_Pg348_02.fsa,Pg348,EX_01,EX-S,36,0.002,0.1998,0.5958,0.0016,0.2008
883779813_Pg348_03.fsa,Pg348,EX_01,EX-S,37,0.0022,0.2,0.5958,0.002,0.2
883779813_Pg348_04.fsa,Pg348,EX_01,EX-S,38,0.002400480096019204,0.1998399679935987,0.20244048809761953,0.0022004400880176037,0.5931186237247449
883779813_Pg348_05.fsa,Pg348,EX_01,EX-S,39,0.001999200319872051,0.2029188324670132,0.20471811275489807,0.0029988004798080768,0.5873650539784085
883779813_Pg348_06.fsa,Pg348,EX_01,EX-S,40,0.001,0.2,0.2016,0.002,0.5953999999999999
883779813_Pg348_07.fsa,Pg348,EX_01,EX-S,41,0.0016,0.1994,0.202,0.001,0.596
883779813_Pg348_08.fsa,Pg348,EX_01,EX-S,42,0.0010004001600640259,0.20208083233293322,0.2026810724289716,0.001200480192076831,0.5930372148859544
883779813_Pg348_09.fsa,Pg348,EX_01,EX-S,43,0.0020008003201280513,0.1994797919167667,0.20788315326130452,0.0014005602240896359,0.589235694277711
883779813_Pg348_10.fsa,Pg348,EX_01,EX-S,44,0.001001001001001001,0.2,0.20100100100100096,0.001001001001001001,0.596996996996997
883779813_Pg348_11.fsa,Pg348,EX_01,EX-S,45,0.0010002000400080018,0.19983996799359877,0.20484096819363873,0.0014002800560112025,0.5929185837167433
883779813_Pg348_12.fsa,Pg348,EX_01,EX-S,46,0.0010006003602161296,0.20112067240344206,0.20192115269161495,0.0010006003602161296,0.5949569741845108
883779813_Pg348_13.fsa,Pg348,EX_01,EX-S,47,0.0010004001600640256,0.2010804321728691,0.20208083233293317,0.0014005602240896359,0.594437775110044
883779813_Pg348_14.fsa,Pg348,EX_01,EX-S,48,0.001600640256102441,0.1986794717887155,0.20728291316526612,0.0012004801920768309,0.5912364945978391
883779813_Pg348_15.fsa,Pg348,EX_01,EX-S,49,0.001999200319872051,0.19932027189124352,0.2019192323070772,0.001999200319872051,0.5947620951619352
883779813_Pg348_16.fsa,Pg348,EX_01,EX-S,50,0.0021986807915250852,0.17969218468918652,0.3935638616829903,0.0019988007195682594,0.42254647211672997
