sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
883779813_Pg349_02.fsa,Pg349,KY_01,KY,60,0.19696060787842432,0.0015996800639872027,0.004399120175964806,0.1983603279344131,0.0069986002799440105,0.19696060787842432,0.392121575684863,0.0025994801039792045
883779813_Pg349_03.fsa,Pg349,KY_01,KY,61,0.19755804643714972,0.0018014411529223382,0.001200960768614892,0.1977582065652522,0.013811048839071258,0.19975980784627703,0.38570856685348276,0.002401921537229784
883779813_Pg349_04.fsa,Pg349,KY_01,KY,62,0.1977582065652522,0.001601281024819856,0.00100080064051241,0.1977582065652522,0.0034027221777421933,0.1991593274619696,0.3961168935148118,0.003202562049639712
883779813_Pg349_07.fsa,Pg349,KY_01,KY,63,0.19827931172468988,0.0018007202881152463,0.0010004001600640256,0.19787915166066428,0.0024009603841536617,0.19507803121248501,0.3987595038015206,0.004801920768307323
883779813_Pg349_08.fsa,Pg349,KY_01,KY,64,0.19871923153892337,0.0014008405043025817,0.0020012007204322593,0.1989193516109666,0.0022013207924754855,0.19951971182709627,0.39443666199719835,0.0028016810086051638
883779813_Pg349_09.fsa,Pg349,KY_01,KY,65,0.1986794717887155,0.0012004801920768309,0.0010004001600640256,0.1986794717887155,0.0028011204481792717,0.20048019207683074,0.3949579831932773,0.0022008803521408565
883779813_Pg349_10.fsa,Pg349,KY_01,KY,66,0.19743948789757954,0.002000400080016003,0.0010002000400080016,0.19703940788157634,0.012602520504100817,0.19643928785757153,0.3856771354270853,0.007801560312062413
883779813_Pg349_11.fsa,Pg349,KY_01,KY,67,0.19876024795040992,0.0015996800639872027,0.0013997200559888023,0.1975604879024195,0.004999000199960009,0.20075984803039393,0.39132173565286943,0.003599280143971206
883779813_Pg349_12.fsa,Pg349,KY_01,KY,68,0.19651791074644787,0.0016009605763458077,0.0010006003602161296,0.19451671002601562,0.003602161296778067,0.19491695017010208,0.40224134480688417,0.0056033620172103275
883779813_Pg349_13.fsa,Pg349,KY_01,KY,69,0.1985602879424115,0.004599080183963208,0.002399520095980804,0.1975604879024195,0.004999000199960009,0.19496100779844033,0.3907218556288742,0.0061987602479504095
883779813_Pg349_14.fsa,Pg349,KY_01,KY,70,0.19911947168300984,0.0012007204322593559,0.0010006003602161296,0.1989193516109666,0.003001801080648389,0.1997198318991395,0.395037022213328,0.0020012007204322593
883779813_Pg349_15.fsa,Pg349,KY_01,KY,71,0.19863972794558912,0.002000400080016003,0.0036007201440288058,0.1982396479295859,0.02000400080016003,0.1952390478095619,0.375875175035007,0.00640128025605121
883779813_Pg349_16.fsa,Pg349,KY_01,KY,72,0.18907563025210083,0.005602240896358544,0.003201280512204882,0.1882753101240496,0.003201280512204882,0.20128051220488194,0.3981592637054822,0.011204481792717089
883779813_Pg349_17.fsa,Pg349,KY_01,KY,73,0.19811887132279368,0.0028016810086051633,0.0016009605763458077,0.19831899139483689,0.0028016810086051638,0.19831899139483689,0.3914348609165499,0.006603962377426456
883779813_Pg349_18.fsa,Pg349,KY_01,KY,74,0.1991601679664067,0.001999600079984003,0.0015996800639872027,0.19876024795040992,0.0025994801039792045,0.2011597680463907,0.39232153569286143,0.002399520095980804
883779813_Pg349_19.fsa,Pg349,KY_01,KY,75,0.1960392078415683,0.003200640128025605,0.001200240048009602,0.1924384876975395,0.009801960392078415,0.21224244848969792,0.38087617523504697,0.004200840168033606
883779813_Pg349_20.fsa,Pg349,KY_01,KY,76,0.1978395679135827,0.001200240048009602,0.0014002800560112022,0.1978395679135827,0.004200840168033607,0.19863972794558912,0.3954790958191638,0.0034006801360272057
883779813_Pg349_21.fsa,Pg349,KY_01,KY,77,0.19911947168300984,0.0014008405043025817,0.0012007204322593559,0.19851911146688014,0.003001801080648389,0.19911947168300984,0.395037022213328,0.0026015609365619375
883779813_Pg349_22.fsa,Pg349,KY_01,KY,78,0.19652139144342265,0.003998400639744102,0.0031987205117952823,0.20351859256297478,0.009996001599360258,0.19612155137944823,0.3842463014794082,0.002399040383846462
883779813_Pg349_23.fsa,Pg349,KY_01,KY,79,0.19427771108443376,0.0014005602240896359,0.0020008003201280517,0.19387755102040818,0.005402160864345739,0.20188075230092037,0.39015606242497003,0.011004401760704283
883779813_Pg349_24.fsa,Pg349,KY_01,KY,80,0.1983206717313075,0.004598160735705718,0.0035985605757696926,0.1979208316673331,0.0033986405437824874,0.20411835265893644,0.3770491803278688,0.010995601759296281
883779813_Pg350_01.fsa,Pg350,KY_03,KY,81,0.0034006801360272057,0.001800360072014403,0.0014002800560112022,0.007801560312062414,0.003800760152030406,0.9697939587917583,0.009601920384076815,0.002400480096019204
