sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13
883779813_Pg347_21.fsa,Pg347,KY_02,KY,32,0.0020008003201280513,0.0012004801920768309,0.010204081632653062,0.0020008003201280513,0.0020008003201280513,0.007202881152460984,0.0010004001600640256,0.9487795118047219,0.004001600640256103,0.001800720288115246,0.011804721888755502,0.006002400960384154,0.0020008003201280513
883779813_Pg347_22.fsa,Pg347,KY_02,KY,33,0.004598160735705716,0.01619352259096361,0.0035985605757696913,0.06037584966013593,0.004598160735705716,0.0021991203518592554,0.0019992003198720507,0.8876449420231907,0.0021991203518592554,9.996001599360254e-4,0.0027988804478208716,0.0049980007996801275,0.007796881247500997
883779813_Pg347_23.fsa,Pg347,KY_02,KY,34,0.0055966420147911256,0.0019988007195682594,9.994003597841297e-4,0.05156905856486109,0.0019988007195682594,9.994003597841297e-4,0.0027983210073955628,0.9180491704977014,0.0019988007195682594,9.994003597841297e-4,0.003797721367179693,0.003797721367179693,0.0053967619428343
883779813_Pg348_01.fsa,Pg348,EX_01,EX-S,35,0.001999200319872051,0.001199520191923231,9.996001599360256e-4,0.001999200319872051,0.0017992802878848463,9.996001599360256e-4,0.0037984806077568972,0.973610555777689,0.001999200319872051,0.0017992802878848463,0.0029988004798080768,0.001199520191923231,0.005597760895641742
883779813_Pg348_02.fsa,Pg348,EX_01,EX-S,36,0.001002004008016032,0.001002004008016032,0.001002004008016032,0.001002004008016032,0.001002004008016032,0.001002004008016032,0.002004008016032064,0.002004008016032064,0.9849699398797596,0.001002004008016032,0.001002004008016032,0.001002004008016032,0.002004008016032064
883779813_Pg348_03.fsa,Pg348,EX_01,EX-S,37,0.0010008006405124099,0.0010008006405124099,0.0012009607686148918,0.0020016012810248197,0.0014011208967173738,0.0010008006405124099,0.0020016012810248197,0.0020016012810248197,0.9821857485988791,0.0010008006405124099,0.0014011208967173738,0.001801441152922338,0.0020016012810248197
883779813_Pg348_04.fsa,Pg348,EX_01,EX-S,38,0.0035942492012779556,0.001996805111821086,0.001996805111821086,0.003194888178913738,0.0021964856230031944,0.001996805111821086,0.003394568690095847,0.9670527156549521,0.003394568690095847,0.0021964856230031944,0.0023961661341853034,0.003394568690095847,0.003194888178913738
883779813_Pg348_05.fsa,Pg348,EX_01,EX-S,39,0.027000000000000003,0.0018000000000000002,0.002,0.007799999999999999,0.0024000000000000002,0.001,0.002,0.931,0.0036000000000000003,0.0028,0.005599999999999999,0.004,0.009
883779813_Pg348_06.fsa,Pg348,EX_01,EX-S,40,0.0028,0.001,0.001,0.002,0.0018000000000000002,0.001,0.001,0.9804,0.003,0.001,0.001,0.002,0.002
883779813_Pg348_07.fsa,Pg348,EX_01,EX-S,41,0.0012014417300760913,0.001001201441730076,0.001001201441730076,0.0036043251902282743,0.002202643171806167,0.001001201441730076,0.003804565478574289,0.9791750100120143,0.002202643171806167,0.001001201441730076,0.0012014417300760913,0.001001201441730076,0.0016019223067681217
883779813_Pg348_08.fsa,Pg348,EX_01,EX-S,42,0.001998800719568259,9.994003597841295e-4,0.0021986807915250844,0.001998800719568259,9.994003597841295e-4,9.994003597841295e-4,0.0011992804317409553,0.9798121127323605,0.003198081151309214,9.994003597841295e-4,0.0011992804317409553,0.0021986807915250844,0.0021986807915250844
883779813_Pg348_09.fsa,Pg348,EX_01,EX-S,43,0.0048028817290374235,0.0020012007204322597,0.0010006003602161299,0.011006603962377428,0.009205523313988394,0.0012007204322593559,0.002601560936561938,0.9457674604762857,0.0036021612967780674,0.0012007204322593559,0.001801080648389034,0.003201921152691616,0.012607564538723236
883779813_Pg348_10.fsa,Pg348,EX_01,EX-S,44,0.001200960768614892,0.00100080064051241,0.00100080064051241,0.001401120896717374,0.00100080064051241,0.00100080064051241,0.00100080064051241,0.9863891112890313,0.001601281024819856,0.00100080064051241,0.00100080064051241,0.00100080064051241,0.001401120896717374
883779813_Pg348_11.fsa,Pg348,EX_01,EX-S,45,0.005404323458767013,0.0010008006405124099,0.0010008006405124099,0.041232986389111284,0.0010008006405124099,0.0010008006405124099,0.0032025620496397116,0.9323458767013612,0.0024019215372297837,0.0010008006405124099,0.0012009607686148918,0.0014011208967173738,0.007806244995996797
883779813_Pg348_12.fsa,Pg348,EX_01,EX-S,46,0.001998401278976818,9.99200639488409e-4,0.001199040767386091,0.001998401278976818,9.99200639488409e-4,9.99200639488409e-4,9.99200639488409e-4,0.9818145483613109,0.0021982414068745,9.99200639488409e-4,0.001199040767386091,0.0021982414068745,0.002398081534772182
883779813_Pg348_13.fsa,Pg348,EX_01,EX-S,47,0.002000800320128051,0.0010004001600640254,0.0014005602240896356,0.002000800320128051,0.0010004001600640254,0.0010004001600640254,0.0010004001600640254,0.9809923969587835,0.0024009603841536613,0.0010004001600640254,0.0016006402561024409,0.0022008803521408556,0.0024009603841536613
883779813_Pg348_14.fsa,Pg348,EX_01,EX-S,48,0.0030042058882435415,0.0010014019627478472,0.0010014019627478472,0.005407570598838375,0.004205888243540959,0.0010014019627478472,0.0022030843180452634,0.9723613058281595,0.0032044862807931113,0.0010014019627478472,0.0012016823552974166,0.0012016823552974166,0.0032044862807931113
883779813_Pg348_15.fsa,Pg348,EX_01,EX-S,49,0.0028,0.001,0.001,0.002,0.002,0.0012000000000000001,0.0021999999999999997,0.9772000000000001,0.0034000000000000002,0.0014,0.0014,0.0022,0.0021999999999999997
883779813_Pg348_16.fsa,Pg348,EX_01,EX-S,50,0.0021999999999999997,0.002,0.001,0.0021999999999999997,0.003,0.0016,0.002,0.5654,0.4128,0.0014,0.0012000000000000001,0.002,0.0032
883779813_Pg348_17.fsa,Pg348,EX_01,EX-S,51,0.0014011208967173738,0.0010008006405124099,0.0010008006405124099,0.024619695756605282,0.0020016012810248197,0.0010008006405124099,0.004803843074459567,0.3314651721377102,0.6261008807045636,0.0010008006405124099,0.0012009607686148918,0.0012009607686148918,0.0032025620496397116
