sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
883779813_Pg356_14.fsa,Pg356,TNE_02,TNE,223,0.001401120896717374,0.1977582065652522,0.001601281024819856,0.0018014411529223382,0.001401120896717374,0.002201761409127302,0.7938350680544436
883779813_Pg356_15.fsa,Pg356,TNE_02,TNE,224,0.001999200319872051,0.1987205117952819,0.0021991203518592567,0.0027988804478208716,0.0015993602558976412,0.002598960415833667,0.7900839664134346
883779813_Pg356_16.fsa,Pg356,TNE_02,TNE,225,0.017596480703859226,0.21975604879024196,0.02679464107178564,0.032593481303739257,0.004999000199960009,0.004399120175964806,0.693861227754449
883779813_Pg356_17.fsa,Pg356,TNE_02,TNE,226,0.008001600320064013,0.1962392478495699,0.0010002000400080016,0.003200640128025605,0.0010002000400080016,0.0022004400880176033,0.7883576715343068
883779813_Pg356_18.fsa,Pg356,TNE_02,TNE,227,0.0024004800960192043,0.19983996799359874,0.002800560112022404,0.0032006401280256056,0.003400680136027206,0.002800560112022404,0.7855571114222843
883779813_Pg356_19.fsa,Pg356,TNE_02,TNE,228,0.001401120896717374,0.19395516413130504,0.001200960768614892,0.00200160128102482,0.001601281024819856,0.009007205764611689,0.7908326661329064
883779813_Pg356_20.fsa,Pg356,TNE_02,TNE,229,0.0021991203518592567,0.1909236305477809,0.0021991203518592567,0.02099160335865654,0.001999200319872051,0.0021991203518592567,0.7794882047181129
883779813_Pg356_21.fsa,Pg356,TNE_02,TNE,230,0.001999600079984003,0.19636072785442912,0.0021995600879824036,0.004399120175964806,0.0013997200559888023,0.005598880223955208,0.7880423915216956
883779813_Pg356_22.fsa,Pg356,TNE_02,TNE,231,0.0048000000000000004,0.189,0.006,0.030199999999999998,0.0018000000000000002,0.0018000000000000002,0.7664
883779813_Pg356_23.fsa,Pg356,TNE_02,TNE,232,0.001999600079984003,0.19536092781443712,0.0017996400719856032,0.005398920215956808,0.001999600079984003,0.002999400119976005,0.7904419116176764
883779813_Pg356_24.fsa,Pg356,TNE_02,TNE,233,0.0021995600879824036,0.1975604879024195,0.001199760047990402,0.0021995600879824036,0.0017996400719856032,0.002599480103979204,0.7924415116976604
883779813_Pg357_01.fsa,Pg357,TNE_01,TNE,234,0.0015993602558976412,0.00899640143942423,0.0017992802878848463,0.0027988804478208716,0.004198320671731307,0.5827668932427029,0.39784086365453825
883779813_Pg357_02.fsa,Pg357,TNE_01,TNE,235,0.0010004001600640256,0.0020008003201280513,0.0010004001600640256,0.0012004801920768309,0.0010004001600640256,0.5952380952380952,0.3985594237695078
883779813_Pg357_03.fsa,Pg357,TNE_01,TNE,236,0.002799440111977605,0.0025994801039792045,0.001999600079984003,0.005798840231953609,0.0021995600879824036,0.5920815836832635,0.39252149570085987
883779813_Pg357_04.fsa,Pg357,TNE_01,TNE,237,0.0010006003602161296,0.0014008405043025817,0.0012007204322593559,0.0014008405043025817,0.0012007204322593559,0.5965579347608565,0.39723834300580346
