sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
883779813_Pg348_24.fsa,Pg348,EX_01,EX-S,58,0.1944,0.0098,0.7594000000000001,0.0062,0.0058000000000000005,0.0024000000000000002,0.011,0.006999999999999999,0.004000000000000001
883779813_Pg349_01.fsa,Pg349,KY_01,KY,59,0.28054389122175566,0.027394521095780847,0.5126974605078984,0.007998400319936013,0.004399120175964806,0.14997000599880023,0.0039992001599680055,0.003399320135972806,0.009598080383923215
883779813_Pg349_02.fsa,Pg349,KY_01,KY,60,0.1971605678864227,0.008198360327934414,0.5758848230353929,0.002399520095980804,0.007598480303939213,0.1981603679264147,0.003599280143971206,0.001999600079984003,0.004999000199960009
883779813_Pg349_03.fsa,Pg349,KY_01,KY,61,0.20256204963971175,0.0026020816653322663,0.5842674139311449,0.0022017614091273015,0.01981585268214572,0.18034427542033626,0.001200960768614892,0.001200960768614892,0.005804643714971977
883779813_Pg349_04.fsa,Pg349,KY_01,KY,62,0.2006802721088435,0.0014005602240896359,0.5886354541816726,0.001600640256102441,0.005602240896358543,0.19327731092436976,0.0012004801920768309,0.0012004801920768309,0.006402561024409764
883779813_Pg349_07.fsa,Pg349,KY_01,KY,63,0.1948779511804722,0.002601040416166467,0.5870348139255702,0.001600640256102441,0.002601040416166467,0.2064825930372149,0.0010004001600640256,0.0012004801920768309,0.002601040416166467
883779813_Pg349_08.fsa,Pg349,KY_01,KY,64,0.19956008798240352,0.001999600079984003,0.5912817436512697,0.0013997200559888023,0.0021995600879824036,0.19796040791841632,0.0017996400719856032,0.001199760047990402,0.0025994801039792045
883779813_Pg349_09.fsa,Pg349,KY_01,KY,65,0.20099999999999998,0.0012000000000000001,0.5913999999999999,0.001,0.0026000000000000003,0.1972,0.0014,0.001,0.0032
883779813_Pg349_10.fsa,Pg349,KY_01,KY,66,0.19595676541232984,0.0020016012810248197,0.5824659727782227,0.0016012810248198558,0.009007205764611687,0.19815852682145715,0.0010008006405124099,0.0012009607686148918,0.008606885508406725
883779813_Pg349_11.fsa,Pg349,KY_01,KY,67,0.20484096819363873,0.0020004000800160036,0.5919183836767353,0.001600320064012803,0.0038007601520304067,0.17603520704140832,0.0018003600720144033,0.0010002000400080018,0.017003400680136033
883779813_Pg349_12.fsa,Pg349,KY_01,KY,68,0.19523904780956192,0.004200840168033608,0.5849169833966794,0.0012002400480096021,0.0038007601520304063,0.20504100820164034,0.0010002000400080016,0.0010002000400080016,0.003600720144028806
883779813_Pg349_13.fsa,Pg349,KY_01,KY,69,0.1944,0.0024000000000000002,0.584,0.003,0.004600000000000001,0.2004,0.0024000000000000002,0.0022,0.0066
883779813_Pg349_14.fsa,Pg349,KY_01,KY,70,0.19967987194877954,0.001600640256102441,0.5918367346938775,0.0010004001600640256,0.003001200480192077,0.19787915166066428,0.0010004001600640256,0.0010004001600640256,0.003001200480192077
883779813_Pg349_15.fsa,Pg349,KY_01,KY,71,0.19480519480519484,0.0021978021978021982,0.5614385614385614,0.0017982017982017986,0.017582417582417582,0.2007992007992008,0.0021978021978021982,0.005594405594405596,0.013586413586413588
883779813_Pg349_16.fsa,Pg349,KY_01,KY,72,0.2008,0.003,0.5784,0.0026000000000000003,0.0038,0.20199999999999996,0.003,0.0032,0.0032
883779813_Pg349_17.fsa,Pg349,KY_01,KY,73,0.198,0.0018000000000000002,0.5878,0.0021999999999999997,0.003,0.2,0.002,0.0016,0.0036000000000000003
883779813_Pg349_18.fsa,Pg349,KY_01,KY,74,0.20515896820635873,0.0019996000799840036,0.5916816636672666,0.0017996400719856034,0.0029994001199760054,0.19116176764647072,0.0019996000799840036,0.0013997200559888025,0.0017996400719856034
883779813_Pg349_19.fsa,Pg349,KY_01,KY,75,0.23199999999999998,0.0028,0.5808,0.0027999999999999995,0.009600000000000001,0.15960000000000002,0.0012000000000000001,0.0016,0.009600000000000001
883779813_Pg349_20.fsa,Pg349,KY_01,KY,76,0.19871923153892337,0.0018010806483890337,0.592555533319992,0.0012007204322593559,0.0054032419451671004,0.19551731038623174,0.0012007204322593559,0.0010006003602161296,0.0026015609365619375
883779813_Pg349_21.fsa,Pg349,KY_01,KY,77,0.1991991991991992,0.0016016016016016017,0.5919919919919919,0.0014014014014014013,0.0032032032032032033,0.1981981981981982,0.001001001001001001,0.0012012012012012014,0.002202202202202202
883779813_Pg349_22.fsa,Pg349,KY_01,KY,78,0.19607843137254907,0.0056022408963585435,0.5770308123249299,0.008203281312525013,0.010204081632653064,0.19267707082833135,0.003801520608243298,0.001200480192076831,0.005202080832332935
883779813_Pg349_23.fsa,Pg349,KY_01,KY,79,0.20259999999999997,0.003,0.5713999999999999,0.001,0.0054,0.20739999999999997,0.002,0.0016,0.005599999999999999
883779813_Pg349_24.fsa,Pg349,KY_01,KY,80,0.20688275310124046,0.0018007202881152463,0.575030012004802,0.0034013605442176874,0.0034013605442176874,0.19767907162865148,0.004001600640256103,0.002601040416166467,0.005202080832332934
883779813_Pg350_01.fsa,Pg350,KY_03,KY,81,0.9669801881128677,0.004202521512907746,0.011807084250550333,0.0010006003602161296,0.0026015609365619375,0.0054032419451671004,0.0014008405043025817,0.0012007204322593559,0.0054032419451671004
883779813_Pg350_02.fsa,Pg350,KY_03,KY,82,0.21087347591445132,0.05156905856486109,0.25584649210473726,0.16430141914851093,0.23765740555666598,0.032380571657005794,0.00879472316610034,0.009194483310013992,0.02938237057765341
883779813_Pg350_03.fsa,Pg350,KY_03,KY,83,0.9812,0.0012000000000000001,0.004200000000000001,0.001,0.0036000000000000003,0.002,0.002,0.0014,0.0034000000000000002
883779813_Pg350_04.fsa,Pg350,KY_03,KY,84,0.9283999999999999,0.010400000000000001,0.0082,0.002,0.005799999999999999,0.0134,0.0022,0.003,0.026600000000000002
883779813_Pg350_05.fsa,Pg350,KY_03,KY,85,0.7292917166866746,0.0014005602240896359,0.23229291716686676,0.0012004801920768309,0.006202480992396959,0.02300920368147259,0.0012004801920768309,0.0010004001600640256,0.004401760704281713
883779813_Pg350_06.fsa,Pg350,KY_03,KY,86,0.9378248700519791,0.004998000799680128,0.01279488204718113,0.005197920831667334,0.012994802079168335,0.0059976009596161535,0.005597760895641743,0.006197520991603358,0.008396641343462614
