sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
883779813_Pg350_01.fsa,Pg350,KY_03,KY,81,0.0037992401519696063,0.007398520295940811,0.002799440111977604,0.0021995600879824036,0.004399120175964808,0.0021995600879824036,9.998000399920016e-4,9.998000399920016e-4,0.9724055188962207,9.998000399920016e-4,0.0017996400719856032
883779813_Pg350_02.fsa,Pg350,KY_03,KY,82,0.009196321471411436,0.10255897640943623,0.2113154738104758,0.07357057177129149,0.21471411435425827,0.021191523390643747,0.00819672131147541,0.15273890443822474,0.16593362654938024,0.01139544182327069,0.029188324670131945
883779813_Pg350_03.fsa,Pg350,KY_03,KY,83,0.001999600079984003,0.001999600079984003,0.002999400119976005,0.001999600079984003,0.002999400119976005,0.0017996400719856032,0.001999600079984003,9.998000399920016e-4,0.9812037592481504,9.998000399920016e-4,9.998000399920016e-4
883779813_Pg350_04.fsa,Pg350,KY_03,KY,84,0.018000000000000002,0.0066,0.0062,0.010200000000000002,0.0126,0.0078,0.0016,0.001,0.9120000000000001,0.0078,0.0162
883779813_Pg350_05.fsa,Pg350,KY_03,KY,85,0.004204204204204205,0.16536536536536536,0.006006006006006006,0.005005005005005005,0.1657657657657658,0.0024024024024024027,0.001001001001001001,0.001001001001001001,0.6472472472472472,0.001001001001001001,0.001001001001001001
883779813_Pg350_06.fsa,Pg350,KY_03,KY,86,0.004603682946357087,0.0030024019215372302,0.012409927942353882,0.0032025620496397124,0.010408326661329063,0.00500400320256205,0.0042033626901521225,0.0042033626901521225,0.9441553242594075,0.005804643714971978,0.0030024019215372302
883779813_Pg350_07.fsa,Pg350,KY_03,KY,87,0.002,0.005200000000000001,0.0236,0.0028000000000000004,0.005200000000000001,0.005,0.0016,0.001,0.9506,0.001,0.0020000000000000005
883779813_Pg350_08.fsa,Pg350,KY_03,KY,88,0.0020008003201280513,0.008403361344537816,0.019407763105242098,0.00820328131252501,0.0024009603841536617,0.002601040416166467,0.007803121248499401,0.005202080832332934,0.9357743097238895,0.0020008003201280513,0.006202480992396959
883779813_Pg350_09.fsa,Pg350,KY_03,KY,89,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.9823999999999999,0.001,0.0016
883779813_Pg350_10.fsa,Pg350,KY_03,KY,90,0.0020024028834601526,0.005606728073688427,0.006808169803764517,0.0058069683620344415,0.16960352422907493,0.0020024028834601526,0.0020024028834601526,0.0020024028834601526,0.8011613936724069,0.0010012014417300763,0.0020024028834601526
883779813_Pg350_11.fsa,Pg350,KY_03,KY,91,0.0020008003201280513,0.004001600640256103,0.003001200480192077,0.003001200480192077,0.005802320928371349,0.003001200480192077,0.0020008003201280513,0.001600640256102441,0.97218887555022,0.0010004001600640256,0.0024009603841536617
